size,bcost,icost,scost,mcost,qcost,qcostm
703,492804,126153,246753,5796,6755,5457
704,494209,121255,247456,5787,7731,5449
705,495616,117990,248160,5777,6969,5532
706,497025,124996,248865,5802,7341,5641
707,498436,115675,249571,5805,7834,5561
708,499849,126298,250278,5811,7100,5597
709,501264,126793,250986,5811,7357,5593
710,502681,125954,251695,5836,7129,5519
711,504100,128004,252405,5852,7476,5529
712,505521,129506,253116,5861,6855,5563
713,506944,132631,253828,5877,7449,5536
714,508369,128690,254541,5891,7373,5613
715,509796,123571,255255,5877,7176,5581
716,511225,128606,255970,5887,7393,5575
717,512656,129946,256686,5902,8215,5660
718,514089,126290,257403,5913,8006,5764
719,515524,128747,258121,5937,6815,5710
720,516961,128677,258840,5924,7751,5657
721,518400,132259,259560,5927,7841,5611
722,519841,133303,260281,5952,7136,5687
723,521284,130327,261003,5966,7720,5625
724,522729,136008,261726,5973,7653,5643
725,524176,132514,262450,5992,7300,5803
